Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Israel,ISR,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,315864156000,365468356000,409993538000,456227436000,500584684000,554658652000,566237877000,592512219000,597952947000,627359651000,660068849000,707003822000,756104521000,791265462000,833529792000,891237382000,954615753000,1011340215000,1075041111000,1124649387000,1179320725000,1237057240000,1289524316000
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,5.92829113242992,3.79045235024513,4.11555506859686,3.33049252877015,8.67165527699174,0.334070643441066,-0.114220927907823,1.39391296405174,4.7844674262581,4.13407661867554,5.58266795932438,6.0332135706837,3.25116336079073,0.883120393565378,5.66851511790733,5.56113907589013,2.58765384384346,4.41550158737924,3.91912689280952,2.48582628898106,4.52168030880658,4.27659595115593
Israel,ISR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.3,22.2,21.4,21.5,21.3,21.2,21.1,21.3,21.4,21.9,21.5,21.7,21.2,21.2,21.7,21.3,20.8,21,21.1,21.5,21.5,21.8,21.4,21.6,21.3,21.5,21.3,21.2,21.1
Israel,ISR,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,867.934264845983,891.339064877164,867.418169502475,895.682681553936,922.137379814448,898.712253730712,885.67815113154,909.449786251815,..,..,..,..,..,..
Israel,ISR,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,4.78999996185303,..,5.84999990463257,6.19999980926514,5.21999979019165,5.73000001907349,6.67000007629395,6.71000003814697,6.21000003814697,5.19000005722046,4.46000003814697,3.90000009536743,3.79999995231628,5.23000001907349,4.3899998664856,4.01000022888184,3.98000001907349,3.84999990463257,3.65000009536743,3.34999990463257,2.92000007629395,2.75999999046326
Israel,ISR,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,8.15999984741211,..,12.8400001525879,13.1099996566772,14.2700004577637,14.1599998474121,14.960000038147,16.8899993896484,16.3299999237061,14.8999996185303,14.3999996185303,13.9099998474121,10.539999961853,11.6700000762939,11.2399997711182,8.55000019073486,12.9399995803833,10.9399995803833,10.539999961853,9.53999996185303,9.56999969482422,6.84999990463257
Israel,ISR,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,..,33.7344386743268,32.8676882766835,31.4429345957155,30.122256829815,34.0777505689727,34.6970157782737,32.7224665685867,34.6737153111774,34.2210872990312,37.7899661895852,39.6214728806267,39.455656577766,40.2431134253197,38.3287296823781,30.0557943344633,32.2817473560596,34.8970775888715,35.42222356895,31.4074330316471,30.2902296429207,28.0410510889648,28.0890266646028,27.3181280592463
Israel,ISR,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,..,..,..,..,..,..,..,7.83714862081273,6.65010918432148,2.3350311860334,-0.45521515961839,8.82415720161711,-5.34471627428223,-2.9884410152555,0.237876979635601,-0.192355875887174,8.10117048607873,3.85081252444044,5.51484829559278,-2.27600991199088,-2.52577517039495,13.6055655996976,2.56302192326285,-0.43995895957346,5.79394229309156,-0.858772816053772,1.06471153311243,-1.79108206821033,3.40635165294098
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.3073170731707,76.6073170731707,76.7585365853659,76.5048780487805,77.1536585365854,77.4024390243903,77.4512195121951,78.1048780487805,78,78.1487804878049,78.6585365853659,78.9536585365854,79.4073170731707,79.4512195121951,79.6487804878049,80.1463414634146,80.1512195121951,80.5536585365854,80.5048780487805,80.9512195121951,81.4048780487805,81.6024390243903,81.6560975609756,81.7048780487805,82.0560975609756,82.1536585365854,82.0512195121951,82.4073170731707,82.5512195121951
Israel,ISR,Population growth (annual %),SP.POP.GROW,1.69646925735759,3.09460300917429,6.01700878321945,3.45546689873163,2.6580917791605,2.58926284874797,2.66828695661805,2.61650594252757,2.49839504329334,2.28687869043162,2.54643388659354,2.64233191305756,2.35711729946802,2.01405839404727,1.80551975888109,1.76762364154994,1.76289766113006,1.76780587358185,1.7761008691798,1.7765791059698,2.39020733801215,1.82675240987847,1.84807786159597,1.84615132126711,1.86605289478673,1.91954379859591,1.98128897562083,1.9603489624817,1.93872567441099
Israel,ISR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,6.65118980407715,6.42038011550903,6.11282014846802,6.3739800453186,6.46506023406982,6.34549999237061,5.94027996063232,5.75459003448486,5.75635004043579,5.49595022201538,5.5199499130249,5.48171997070313,5.51981019973755,5.54936981201172,5.67253017425537,5.85425996780396,5.76681995391846,5.86211013793945,5.85578012466431,6.05790996551514
Israel,ISR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,13047200000,15306900000,17093300000,18389400000,20532600000,22727600000,26963900000,28654100000,28156400000,26617900000,30566500000,34747200000,31737900000,31992200000,33315800000,39507400000,43887100000,47350000000,56005300000,64437700000,46001500000,58288000000,72636500000,70533400000,70584600000,71468900000,60786200000,64149300000,68521900000
Israel,ISR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,3.9766531316201,1.85194884867732,-2.84590294869676,14.0432499082961,9.85117482680545,12.8785276797264,10.0465061438982,6.10156014805024,9.07721967909406,6.21891000927515,14.445989763204,23.3980605150896,-11.6721203770804,-2.08031001382676,8.10010009171584,17.5193401782776,4.6728599635137,5.08273997672602,10.2248998842171,5.65825016935125,-12.0464298884981,14.8580398391692,8.25892987531311,-0.460059890681364,4.86223997763898,0.886070109373961,-1.74159008188924,2.37807017782481,4.93008999577522
Israel,ISR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.1,6.8,6.5,6.4,6.6,6.5,6.3,6.1,6.2,6.2,6.1,6,5.8,5.8,5.8,5.6,5.6,5.5,5.6,5.4,5.2,5.2,5.3,5.3,5.2,5.2,5.3,5.2,5.2
Israel,ISR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.3936901092529,32.7910194396973,33.2059211730957,..,..
Israel,ISR,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.4235992431641,35.0156898498535,35.4365005493164,..,..
Israel,ISR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.62627329780844,17.056000899572,23.3961327354591,19.3751872634769,18.3983611945413,19.8913886373622,19.034818930691,19.4125897529755,22.8957270297858,21.8134039268515,21.066975909014
Israel,ISR,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,..,41.8304787855197,41.8999522824877,43.9657469077069,44.5087474223375,43.2989992391877,45.0434126085315,47.2072312168255,48.4735381376208,50.6467252574052,52.4182905053955,57.6588061498058,49.6864083394522,49.2590440415079,50.2722806397692,53.9533480094878,54.4424146971749,57.7825524548434,59.1965817362843,59.4815236169047,60.9530933010922,61.9708449218375,37.4387672925284,42.6977857149141,40.5163498586032,42.1168235147056,39.2300264369384,39.0038418618122,39.7568049789022
Israel,ISR,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,9245.52,9290.11,9669.6,9844.56,10309.14,10460.49,11009.5,11192.87,11328.61,11173.52,10914.56,11248.86,11622.78,11395.49,12112.79,12048.66,12244.1,12270.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/30/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
